epoch,train_loss,train_dice,val_loss,val_dice
1,1.4787548220887476,0.04386229587627178,1.3776263988242958,0.07956134850982266
1,1.6283366856526356,0.02494686618885454,1.4857594067195676,0.057830101891868824
2,1.42871686329647,0.06215004130089975,1.4307922822124552,0.07155152272916358
3,1.3438943879944938,0.13521615588717278,1.2974209448076643,0.17432775954666205
4,1.278626458985465,0.18110231482029013,1.2528492639649589,0.20040085065613683
5,1.2230202245468995,0.20383577174240414,1.1942549314139024,0.2485199087825347
6,1.1730645724705286,0.2248465330440339,1.1456729263629553,0.2689365856269215
7,1.1365344384495093,0.23667862295385214,1.1204907511765103,0.2575558171257162
8,1.1015654777993962,0.2523724343057494,1.0964508472748522,0.19971923119772525
9,1.0726604191016178,0.244116539279804,1.0517089591836029,0.27036147819772954
10,1.0433171516170308,0.23582541063367915,1.0417214204680245,0.22175278858316994
11,1.0170290889788647,0.246800683747649,1.010250300731299,0.2855656333598488
12,0.9873352114643369,0.2667228492423512,0.9846028280708025,0.2553748881059677
13,0.9553100250813426,0.27610132357961154,0.9540866006095454,0.2958073821610207
14,0.930094797696386,0.2805171770599614,0.9243140006965062,0.30145981124953247
15,0.9024367198652151,0.29686602096190695,0.9074383316174993,0.2969797016689564
16,0.8700652803693499,0.3012011306365091,0.8964308938890133,0.30594098239852896
17,0.8360315941426218,0.31785447213384804,0.8476017859746825,0.4004410429053213
18,0.7993710548902044,0.34467216512682486,0.8174700922561142,0.41044674792660857
19,0.7651382833719254,0.3664184135526858,0.7924997019317915,0.40109329305751135
20,0.741164321497995,0.3782447682608976,0.7668248808608865,0.4408289392320615
21,0.7398084950994472,0.35956923389489154,0.7529648654865768,0.424360925788587
22,0.7017363051370699,0.39293603642786645,0.774813342769191,0.41705946905433006
23,0.6943479856970359,0.38706217350780353,0.7279933235555325,0.431348499543262
24,0.672340846943612,0.40347382259827624,0.7394223989180799,0.4163306330172521
25,0.6811770463780481,0.4038042866476243,0.770771250972208,0.33728820571141355
26,0.6608002331792092,0.4201946186802295,0.6992977199689397,0.458326703675513
27,0.6496059278748474,0.4124489921910294,0.6869719613273189,0.46785678798859975
28,0.6354252072621365,0.4234678004393164,0.6856950549584515,0.4719161784873818
29,0.6357008221806312,0.4233920596835003,0.6755249584620854,0.48026524392782516
30,0.641549360083074,0.44171836086179994,0.681960458463093,0.46066854493516796
31,0.6301328822666284,0.4483489875862261,0.6863554136933021,0.47393929564727927
32,0.6230222514393379,0.4373834108724734,0.6797568876788301,0.46382764340290483
33,0.6090238503351504,0.45846226910243226,0.687872013955746,0.49009387300543067
34,0.6079734875535479,0.4386810347894017,0.6715647336447014,0.4797704664041411
35,0.6123661753170344,0.4533596099259294,0.6786369518289026,0.4578536429776336
36,0.6149250433153036,0.4458661845752171,0.6796170489967994,0.4955401566793334
37,0.6021024157502213,0.44758240103113406,0.6746429278040832,0.46659423108651954
38,0.6155351141885835,0.43754674027522805,0.6677619634934191,0.4966779242990152
39,0.6214617236840482,0.45768447259288964,0.6539999640212869,0.49881852952376854
40,0.6147838692579951,0.4480217546730505,0.6524506183165424,0.4978068436513532
41,0.598622265518928,0.4455194069756841,0.6624257474575402,0.47762253824269996
42,0.6014284789562225,0.4603469107562415,0.6726193900378246,0.47598748197251894
43,0.5959485617219186,0.4437044236276831,0.6619684521882039,0.4673530889569588
44,0.6095657490802054,0.4570985235349864,0.6645269422036297,0.47368272281480284
45,0.5874789673454908,0.4734171028153933,0.66339613975219,0.4813733623837525
46,0.5971267854376715,0.46519775379331496,0.6549814644287217,0.5020483664746554
47,0.5993264752383135,0.45540120912601756,0.66010900375978,0.49006464156620905
48,0.5938580490040536,0.46758342403301034,0.6592186683753751,0.4981218740203471
49,0.5942732042499951,0.46083506458077805,0.6479186657464729,0.4978589159700106
50,0.5907523365957397,0.4623178752633382,0.6620043223758914,0.497121716867078
